time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.radiation_type,.field_of_view,.min_range,.max_range,.range
2020/05/26/19:42:17.254117,58,1590522136,976670026,sonar,0,0.0,0.0,1.45000004768,1.00100004673
2020/05/26/19:42:17.527546,59,1590522137,254127025,sonar,0,0.0,0.0,1.49399995804,1.02799999714
2020/05/26/19:42:17.811501,60,1590522137,527049303,sonar,0,0.0,0.0,1.5340000391,1.05999994278
2020/05/26/19:42:18.096390,61,1590522137,811042070,sonar,0,0.0,0.0,1.58200001717,1.08099997044
2020/05/26/19:42:18.371153,62,1590522138,96538066,sonar,0,0.0,0.0,1.61300003529,1.13300001621
2020/05/26/19:42:18.650272,63,1590522138,371414899,sonar,0,0.0,0.0,1.69099998474,1.17200005054
2020/05/26/19:42:18.932536,64,1590522138,650400876,sonar,0,0.0,0.0,1.74899995327,1.23800003529
2020/05/26/19:42:19.206509,65,1590522138,932480812,sonar,0,0.0,0.0,1.84800004959,1.22399997711
2020/05/26/19:42:19.490807,66,1590522139,206686496,sonar,0,0.0,0.0,1.82799994946,1.26900005341
2020/05/26/19:42:19.773180,67,1590522139,490957021,sonar,0,0.0,0.0,1.89499998093,1.29700005054
2020/05/26/19:42:20.053025,68,1590522139,773419618,sonar,0,0.0,0.0,1.93499994278,1.31700003147
2020/05/26/19:42:20.334637,69,1590522140,53272724,sonar,0,0.0,0.0,1.9659999609,1.3370000124
2020/05/26/19:42:20.616336,70,1590522140,334789991,sonar,0,0.0,0.0,1.9960000515,1.35899996758
2020/05/26/19:42:20.896308,71,1590522140,616468191,sonar,0,0.0,0.0,2.02900004387,1.37800002098
2020/05/26/19:42:21.174858,72,1590522140,896633148,sonar,0,0.0,0.0,2.0569999218,1.39499998093
2020/05/26/19:42:21.451836,73,1590522141,175096511,sonar,0,0.0,0.0,2.08299994469,1.41499996185
2020/05/26/19:42:21.726426,74,1590522141,451998472,sonar,0,0.0,0.0,2.11299991608,1.42999994755
2020/05/26/19:42:22.011918,75,1590522141,725795507,sonar,0,0.0,0.0,2.13400006294,1.44900000095
2020/05/26/19:42:22.289393,76,1590522142,11360883,sonar,0,0.0,0.0,2.16199994087,1.46800005436
2020/05/26/19:42:22.569599,77,1590522142,288702726,sonar,0,0.0,0.0,2.19099998474,1.48699998856
2020/05/26/19:42:22.851492,78,1590522142,568887948,sonar,0,0.0,0.0,2.21900010109,1.5039999485
2020/05/26/19:42:23.140242,79,1590522142,850676774,sonar,0,0.0,0.0,2.24399995804,1.51499998569
2020/05/26/19:42:23.411260,80,1590522143,138681173,sonar,0,0.0,0.0,2.26099991798,1.52400004864
2020/05/26/19:42:23.700337,81,1590522143,410835742,sonar,0,0.0,0.0,2.27500009537,1.51900005341
