time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.radiation_type,.field_of_view,.min_range,.max_range,.range
2020/05/27/12:41:03.670016,50,1590583263,382298946,sonar,0,0.0,0.0,1.5720000267,1.0529999733
2020/05/27/12:41:03.956114,51,1590583263,669233322,sonar,0,0.0,0.0,1.5720000267,1.0529999733
2020/05/27/12:41:04.238015,52,1590583263,955629825,sonar,0,0.0,0.0,1.57099997997,1.05200004578
2020/05/27/12:41:04.526634,53,1590583264,238188505,sonar,0,0.0,0.0,1.57099997997,1.05200004578
2020/05/27/12:41:04.820887,54,1590583264,526360273,sonar,0,0.0,0.0,1.57099997997,1.05200004578
2020/05/27/12:41:05.100307,55,1590583264,820100069,sonar,0,0.0,0.0,1.57000005245,1.05200004578
2020/05/27/12:41:05.384265,56,1590583265,100487470,sonar,0,0.0,0.0,1.57000005245,1.05099999905
2020/05/27/12:41:05.662276,57,1590583265,384012699,sonar,0,0.0,0.0,1.56900000572,1.05099999905
2020/05/27/12:41:05.959642,58,1590583265,661445856,sonar,0,0.0,0.0,1.56900000572,1.05099999905
2020/05/27/12:41:06.231010,59,1590583265,959914922,sonar,0,0.0,0.0,1.56900000572,1.05099999905
2020/05/27/12:41:06.520284,60,1590583266,230521440,sonar,0,0.0,0.0,1.56900000572,1.05200004578
2020/05/27/12:41:06.800075,61,1590583266,520117044,sonar,0,0.0,0.0,1.57000005245,1.05200004578
2020/05/27/12:41:07.095357,62,1590583266,799626350,sonar,0,0.0,0.0,1.57000005245,1.05099999905
2020/05/27/12:41:07.392470,63,1590583267,95062255,sonar,0,0.0,0.0,1.57000005245,1.05200004578
2020/05/27/12:41:07.656318,64,1590583267,393236398,sonar,0,0.0,0.0,1.57000005245,1.05200004578
2020/05/27/12:41:07.949613,65,1590583267,656553983,sonar,0,0.0,0.0,1.57000005245,1.05200004578
2020/05/27/12:41:08.430955,66,1590583267,949206590,sonar,0,0.0,0.0,1.57000005245,1.05200004578
2020/05/27/12:41:08.899600,67,1590583268,430522203,sonar,0,0.0,0.0,1.57099997997,1.05200004578
2020/05/27/12:41:09.155750,68,1590583268,896068334,sonar,0,0.0,0.0,1.57099997997,1.05200004578
2020/05/27/12:41:09.368693,69,1590583269,156682014,sonar,0,0.0,0.0,1.57099997997,1.05200004578
2020/05/27/12:41:09.635506,70,1590583269,396401405,sonar,0,0.0,0.0,1.57099997997,1.05200004578
2020/05/27/12:41:09.920212,71,1590583269,646494865,sonar,0,0.0,0.0,1.57099997997,1.05200004578
2020/05/27/12:41:10.210159,72,1590583269,919855594,sonar,0,0.0,0.0,1.57099997997,1.05200004578
2020/05/27/12:41:10.486872,73,1590583270,207106113,sonar,0,0.0,0.0,1.57099997997,1.05200004578
2020/05/27/12:41:10.787955,74,1590583270,486155271,sonar,0,0.0,0.0,1.57099997997,1.05200004578
2020/05/27/12:41:11.064478,75,1590583270,784174919,sonar,0,0.0,0.0,1.57099997997,1.05200004578
2020/05/27/12:41:11.346461,76,1590583271,61378479,sonar,0,0.0,0.0,1.57099997997,1.05200004578
2020/05/27/12:41:11.627074,77,1590583271,346078634,sonar,0,0.0,0.0,1.57099997997,1.05200004578
2020/05/27/12:41:11.910986,78,1590583271,626537799,sonar,0,0.0,0.0,1.57099997997,1.05200004578
2020/05/27/12:41:12.198689,79,1590583271,910642862,sonar,0,0.0,0.0,1.57099997997,1.05200004578
2020/05/27/12:41:12.493453,80,1590583272,198409318,sonar,0,0.0,0.0,1.57099997997,1.05200004578
2020/05/27/12:41:12.831136,81,1590583272,487780094,sonar,0,0.0,0.0,1.57099997997,1.0529999733
2020/05/27/12:41:13.079539,82,1590583272,830709695,sonar,0,0.0,0.0,1.57099997997,1.0529999733
2020/05/27/12:41:13.370255,83,1590583273,78865051,sonar,0,0.0,0.0,1.57099997997,1.0529999733
2020/05/27/12:41:13.637650,84,1590583273,369613647,sonar,0,0.0,0.0,1.5720000267,1.0529999733
2020/05/27/12:41:13.981802,85,1590583273,637785673,sonar,0,0.0,0.0,1.5720000267,1.0529999733
2020/05/27/12:41:14.228797,86,1590583273,977142572,sonar,0,0.0,0.0,1.5720000267,1.0529999733
2020/05/27/12:41:14.479501,87,1590583274,229660749,sonar,0,0.0,0.0,1.5720000267,1.0529999733
2020/05/27/12:41:14.818927,88,1590583274,479900598,sonar,0,0.0,0.0,1.5720000267,1.0529999733
2020/05/27/12:41:15.051685,89,1590583274,815773248,sonar,0,0.0,0.0,1.5720000267,1.0529999733
2020/05/27/12:41:15.331706,90,1590583275,48176288,sonar,0,0.0,0.0,1.5720000267,1.0529999733
2020/05/27/12:41:15.646060,91,1590583275,331584930,sonar,0,0.0,0.0,1.57299995422,1.05400002003
2020/05/27/12:41:15.885515,92,1590583275,646344423,sonar,0,0.0,0.0,1.57299995422,1.05400002003
2020/05/27/12:41:16.179229,93,1590583275,885652303,sonar,0,0.0,0.0,1.57299995422,1.05400002003
2020/05/27/12:41:16.456702,94,1590583276,178783655,sonar,0,0.0,0.0,1.57299995422,1.05400002003
2020/05/27/12:41:16.749535,95,1590583276,456830501,sonar,0,0.0,0.0,1.57299995422,1.05400002003
2020/05/27/12:41:17.020853,96,1590583276,748353481,sonar,0,0.0,0.0,1.57299995422,1.05400002003
2020/05/27/12:41:17.316454,97,1590583277,20314693,sonar,0,0.0,0.0,1.57299995422,1.05400002003
2020/05/27/12:41:17.609077,98,1590583277,315191030,sonar,0,0.0,0.0,1.57299995422,1.05400002003
2020/05/27/12:41:17.879147,99,1590583277,607652425,sonar,0,0.0,0.0,1.57299995422,1.05400002003
2020/05/27/12:41:18.160195,100,1590583277,878543853,sonar,0,0.0,0.0,1.57299995422,1.05400002003
2020/05/27/12:41:18.457286,101,1590583278,158106803,sonar,0,0.0,0.0,1.57400000095,1.05400002003
2020/05/27/12:41:18.736501,102,1590583278,456612348,sonar,0,0.0,0.0,1.57299995422,1.05400002003
2020/05/27/12:41:19.028479,103,1590583278,735972642,sonar,0,0.0,0.0,1.57299995422,1.05400002003
2020/05/27/12:41:19.305516,104,1590583279,28173208,sonar,0,0.0,0.0,1.57299995422,1.05400002003
2020/05/27/12:41:19.585591,105,1590583279,305500268,sonar,0,0.0,0.0,1.57400000095,1.05499994755
2020/05/27/12:41:19.863115,106,1590583279,585622549,sonar,0,0.0,0.0,1.57400000095,1.05499994755
2020/05/27/12:41:20.151586,107,1590583279,862760782,sonar,0,0.0,0.0,1.57500004768,1.05599999428
2020/05/27/12:41:20.434515,108,1590583280,151878595,sonar,0,0.0,0.0,1.5759999752,1.05599999428
2020/05/27/12:41:20.730869,109,1590583280,433244228,sonar,0,0.0,0.0,1.57700002193,1.05700004101
2020/05/27/12:41:21.018595,110,1590583280,730280399,sonar,0,0.0,0.0,1.57700002193,1.05700004101
2020/05/27/12:41:21.296807,111,1590583281,18846035,sonar,0,0.0,0.0,1.57799994946,1.05700004101
2020/05/27/12:41:21.575734,112,1590583281,292635917,sonar,0,0.0,0.0,1.57799994946,1.05700004101
2020/05/27/12:41:21.855912,113,1590583281,574501991,sonar,0,0.0,0.0,1.57799994946,1.05700004101
2020/05/27/12:41:22.148252,114,1590583281,853188514,sonar,0,0.0,0.0,1.57799994946,1.05799996853
2020/05/27/12:41:22.421865,115,1590583282,147022247,sonar,0,0.0,0.0,1.57899999619,1.05799996853
2020/05/27/12:41:22.710702,116,1590583282,420079708,sonar,0,0.0,0.0,1.57899999619,1.05799996853
2020/05/27/12:41:22.992769,117,1590583282,709816694,sonar,0,0.0,0.0,1.57899999619,1.05799996853
2020/05/27/12:41:23.283775,118,1590583282,992285490,sonar,0,0.0,0.0,1.57899999619,1.05799996853
2020/05/27/12:41:23.562509,119,1590583283,283501863,sonar,0,0.0,0.0,1.58000004292,1.05799996853
2020/05/27/12:41:23.853212,120,1590583283,563356876,sonar,0,0.0,0.0,1.58000004292,1.05900001526
2020/05/27/12:41:24.134155,121,1590583283,853279829,sonar,0,0.0,0.0,1.58000004292,1.05900001526
2020/05/27/12:41:24.419357,122,1590583284,133860111,sonar,0,0.0,0.0,1.58000004292,1.05900001526
2020/05/27/12:41:24.705751,123,1590583284,419053316,sonar,0,0.0,0.0,1.58099997044,1.05900001526
2020/05/27/12:41:24.991354,124,1590583284,704166650,sonar,0,0.0,0.0,1.58099997044,1.05900001526
2020/05/27/12:41:25.272215,125,1590583284,990858316,sonar,0,0.0,0.0,1.58099997044,1.05900001526
2020/05/27/12:41:25.556390,126,1590583285,271896839,sonar,0,0.0,0.0,1.58099997044,1.05900001526
2020/05/27/12:41:25.840833,127,1590583285,556491374,sonar,0,0.0,0.0,1.58099997044,1.05900001526
2020/05/27/12:41:26.130977,128,1590583285,840977430,sonar,0,0.0,0.0,1.58000004292,1.05900001526
2020/05/27/12:41:26.414785,129,1590583286,131147861,sonar,0,0.0,0.0,1.58099997044,1.05900001526
2020/05/27/12:41:26.701324,130,1590583286,414862632,sonar,0,0.0,0.0,1.58099997044,1.05900001526
2020/05/27/12:41:26.985822,131,1590583286,700813770,sonar,0,0.0,0.0,1.58099997044,1.05900001526
2020/05/27/12:41:27.270178,132,1590583286,983760118,sonar,0,0.0,0.0,1.58099997044,1.05900001526
2020/05/27/12:41:27.557724,133,1590583287,269608497,sonar,0,0.0,0.0,1.58099997044,1.05900001526
2020/05/27/12:41:27.845522,134,1590583287,557299613,sonar,0,0.0,0.0,1.58000004292,1.05799996853
2020/05/27/12:41:28.132647,135,1590583287,845140695,sonar,0,0.0,0.0,1.58000004292,1.05799996853
2020/05/27/12:41:28.421918,136,1590583288,132010698,sonar,0,0.0,0.0,1.57899999619,1.05700004101
2020/05/27/12:41:28.708764,137,1590583288,421494722,sonar,0,0.0,0.0,1.57799994946,1.05700004101
2020/05/27/12:41:28.997936,138,1590583288,708868026,sonar,0,0.0,0.0,1.57799994946,1.05700004101
2020/05/27/12:41:29.277168,139,1590583288,997144937,sonar,0,0.0,0.0,1.57799994946,1.05700004101
2020/05/27/12:41:29.573255,140,1590583289,276515245,sonar,0,0.0,0.0,1.57799994946,1.05700004101
2020/05/27/12:41:29.852191,141,1590583289,572857618,sonar,0,0.0,0.0,1.57700002193,1.05599999428
2020/05/27/12:41:30.137707,142,1590583289,851670265,sonar,0,0.0,0.0,1.57700002193,1.05599999428
2020/05/27/12:41:30.426779,143,1590583290,137089490,sonar,0,0.0,0.0,1.5759999752,1.06299996376
2020/05/27/12:41:30.812862,144,1590583290,426172256,sonar,0,0.0,0.0,1.58599996567,1.06500005722
2020/05/27/12:41:30.982283,145,1590583290,812176227,sonar,0,0.0,0.0,1.58899998665,1.06400001049
2020/05/27/12:41:31.265895,146,1590583291,63120126,sonar,0,0.0,0.0,1.58800005913,1.06900000572
2020/05/27/12:41:31.545526,147,1590583291,312907218,sonar,0,0.0,0.0,1.59599995613,1.08899998665
2020/05/27/12:41:31.823014,148,1590583291,563011407,sonar,0,0.0,0.0,1.625,1.08599996567
2020/05/27/12:41:32.109204,149,1590583291,822648763,sonar,0,0.0,0.0,1.62199997902,1.10300004482
2020/05/27/12:41:32.393146,150,1590583292,108691930,sonar,0,0.0,0.0,1.64600002766,1.10899996758
2020/05/27/12:41:32.669341,151,1590583292,392470598,sonar,0,0.0,0.0,1.65600001812,1.11500000954
2020/05/27/12:41:32.953406,152,1590583292,668903350,sonar,0,0.0,0.0,1.66499996185,1.13699996471
2020/05/27/12:41:33.244710,153,1590583292,953596353,sonar,0,0.0,0.0,1.6970000267,1.14999997616
2020/05/27/12:41:33.527263,154,1590583293,242386579,sonar,0,0.0,0.0,1.71700000763,1.17900002003
2020/05/27/12:41:33.807587,155,1590583293,526261091,sonar,0,0.0,0.0,1.75999999046,1.20599997044
2020/05/27/12:41:34.087350,156,1590583293,806712150,sonar,0,0.0,0.0,1.79999995232,1.22800004482
2020/05/27/12:41:34.375681,157,1590583294,86562156,sonar,0,0.0,0.0,1.83299994469,1.25
2020/05/27/12:41:34.657087,158,1590583294,374489307,sonar,0,0.0,0.0,1.86699998379,1.27600002289
2020/05/27/12:41:34.950535,159,1590583294,655692338,sonar,0,0.0,0.0,1.90400004387,1.30400002003
2020/05/27/12:41:35.238300,160,1590583294,950575590,sonar,0,0.0,0.0,1.94599997997,1.34899997711
2020/05/27/12:41:35.530403,161,1590583295,237704992,sonar,0,0.0,0.0,2.01300001144,1.38699996471
2020/05/27/12:41:35.818263,162,1590583295,529901981,sonar,0,0.0,0.0,2.06999993324,1.41799998283
2020/05/27/12:41:36.123048,163,1590583295,817881107,sonar,0,0.0,0.0,7.62300014496,5.10099983215
2020/05/27/12:41:36.418742,164,1590583296,122161388,sonar,0,0.0,0.0,7.6139998436,5.11999988556
2020/05/27/12:41:36.721951,165,1590583296,418269872,sonar,0,0.0,0.0,7.64200019836,5.11199998856
2020/05/27/12:41:37.019825,166,1590583296,720961093,sonar,0,0.0,0.0,7.63000011444,5.10599994659
2020/05/27/12:41:37.312091,167,1590583297,19091606,sonar,0,0.0,0.0,7.62099981308,5.09700012207
2020/05/27/12:41:37.617772,168,1590583297,311219692,sonar,0,0.0,0.0,7.60799980164,5.09600019455
2020/05/27/12:41:37.911542,169,1590583297,617026329,sonar,0,0.0,0.0,7.60699987411,5.08900022507
2020/05/27/12:41:38.203105,170,1590583297,910781383,sonar,0,0.0,0.0,7.59600019455,5.08199977875
2020/05/27/12:41:38.502407,171,1590583298,202483177,sonar,0,0.0,0.0,7.58500003815,5.07399988174
2020/05/27/12:41:38.796609,172,1590583298,502459287,sonar,0,0.0,0.0,7.57399988174,5.0689997673
2020/05/27/12:41:39.095889,173,1590583298,796314954,sonar,0,0.0,0.0,7.56599998474,5.05800008774
2020/05/27/12:41:39.389813,174,1590583299,95514774,sonar,0,0.0,0.0,7.55000019073,5.05000019073
2020/05/27/12:41:39.687657,175,1590583299,389103412,sonar,0,0.0,0.0,7.53700017929,5.04099988937
2020/05/27/12:41:39.980249,176,1590583299,687032222,sonar,0,0.0,0.0,7.52400016785,5.03100013733
2020/05/27/12:41:40.286137,177,1590583299,980367660,sonar,0,0.0,0.0,7.51000022888,5.05200004578
2020/05/27/12:41:40.582050,178,1590583300,283759593,sonar,0,0.0,0.0,7.53999996185,5.04500007629
2020/05/27/12:41:40.874442,179,1590583300,580642461,sonar,0,0.0,0.0,7.53000020981,5.03800010681
2020/05/27/12:41:41.172291,180,1590583300,874663591,sonar,0,0.0,0.0,7.51999998093,5.03299999237
2020/05/27/12:41:41.467047,181,1590583301,171738147,sonar,0,0.0,0.0,7.51200008392,5.02600002289
2020/05/27/12:41:41.772352,182,1590583301,466596603,sonar,0,0.0,0.0,7.50099992752,5.01800012589
2020/05/27/12:41:42.065105,183,1590583301,771917104,sonar,0,0.0,0.0,7.48999977112,5.01700019836
2020/05/27/12:41:42.365059,184,1590583302,64721107,sonar,0,0.0,0.0,7.48799991608,4.99399995804
2020/05/27/12:41:42.661139,185,1590583302,365189790,sonar,0,0.0,0.0,7.45499992371,5.02299976349
2020/05/27/12:41:42.954910,186,1590583302,661293745,sonar,0,0.0,0.0,7.49800014496,5.01999998093
2020/05/27/12:41:43.254100,187,1590583302,955051183,sonar,0,0.0,0.0,7.49300003052,5.02099990845
2020/05/27/12:41:43.552304,188,1590583303,254317045,sonar,0,0.0,0.0,7.49399995804,5.01300001144
2020/05/27/12:41:43.847778,189,1590583303,552450656,sonar,0,0.0,0.0,7.48299980164,5.00199985504
2020/05/27/12:41:44.154855,190,1590583303,847926855,sonar,0,0.0,0.0,7.46600008011,5.00099992752
2020/05/27/12:41:44.447635,191,1590583304,155174493,sonar,0,0.0,0.0,7.46400022507,4.99800014496
2020/05/27/12:41:44.747695,192,1590583304,447798252,sonar,0,0.0,0.0,7.46000003815,4.99599981308
2020/05/27/12:41:45.040942,193,1590583304,746283531,sonar,0,0.0,0.0,7.45699977875,4.99700021744
2020/05/27/12:41:45.336805,194,1590583305,41049242,sonar,0,0.0,0.0,7.45800018311,4.99700021744
2020/05/27/12:41:45.638710,195,1590583305,336777687,sonar,0,0.0,0.0,7.45800018311,4.99700021744
2020/05/27/12:41:45.930479,196,1590583305,638511180,sonar,0,0.0,0.0,7.45900011063,4.99800014496
2020/05/27/12:41:46.225794,197,1590583305,930641174,sonar,0,0.0,0.0,7.46000003815,4.97700023651
2020/05/27/12:41:46.520757,198,1590583306,226009130,sonar,0,0.0,0.0,7.4279999733,4.97499990463
2020/05/27/12:41:46.780620,199,1590583306,521594524,sonar,0,0.0,0.0,7.42500019073,4.97700023651
2020/05/27/12:41:47.033907,200,1590583306,780184507,sonar,0,0.0,0.0,7.42899990082,4.97800016403
2020/05/27/12:41:47.329705,201,1590583307,31692266,sonar,0,0.0,0.0,7.42999982834,4.97499990463
2020/05/27/12:41:47.627914,202,1590583307,330190181,sonar,0,0.0,0.0,7.42500019073,5.00099992752
2020/05/27/12:41:47.917671,203,1590583307,628050088,sonar,0,0.0,0.0,7.46500015259,4.98699998856
2020/05/27/12:41:48.233875,204,1590583307,917257785,sonar,0,0.0,0.0,7.4439997673,5.01499986649
2020/05/27/12:41:48.532147,205,1590583308,234057188,sonar,0,0.0,0.0,7.48500013351,5.02099990845
2020/05/27/12:41:48.830345,206,1590583308,533104896,sonar,0,0.0,0.0,7.49399995804,5.01999998093
2020/05/27/12:41:49.116679,207,1590583308,831260919,sonar,0,0.0,0.0,7.492000103,5.03100013733
2020/05/27/12:41:49.419858,208,1590583309,116827726,sonar,0,0.0,0.0,7.50899982452,5.03100013733
2020/05/27/12:41:49.711616,209,1590583309,418402671,sonar,0,0.0,0.0,7.50899982452,5.03599977493
2020/05/27/12:41:50.009003,210,1590583309,711363315,sonar,0,0.0,0.0,7.51700019836,5.03399991989
2020/05/27/12:41:50.307407,211,1590583310,8630990,sonar,0,0.0,0.0,7.51300001144,5.03299999237
2020/05/27/12:41:50.607517,212,1590583310,307452440,sonar,0,0.0,0.0,7.51200008392,5.03299999237
2020/05/27/12:41:50.903595,213,1590583310,602794647,sonar,0,0.0,0.0,7.51200008392,5.03800010681
2020/05/27/12:41:51.208348,214,1590583310,900119304,sonar,0,0.0,0.0,7.51999998093,5.0689997673
2020/05/27/12:41:51.498527,215,1590583311,206571578,sonar,0,0.0,0.0,7.56599998474,5.0640001297
2020/05/27/12:41:51.797648,216,1590583311,495441436,sonar,0,0.0,0.0,7.55800008774,5.07299995422
